fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7,0,0,1,0,11,34,0,3,0,9,5
7,0,0,2,0,25,67,0,3,0,9,5
7,0,0,2,0,15,54,0,3,0,9,5
11,0,0,1,0,17,60,0,3,0,9,6
7,0,0,1,0,11,34,0,3,0,9,5
7,0,0,1,0,13,40,0,3,0,9,5
7,0,0,1,0,15,59,0,3,0,9,5
7,0,0,1,0,15,21,0,3,0,10,7
7,0,0,2,0,9,18,0,3,0,9,7
6,0,0,1,0,15,65,0,3,0,9,5
5,0,0,1,0,15,45,0,3,0,9,5
7,0,0,1,0,15,45,0,3,0,9,5
8,0,0,1,0,15,45,0,3,0,10,7
7,0,0,1,0,15,45,0,3,0,9,6
7,0,0,2,0,15,45,0,3,0,9,5
7,0,0,1,0,15,45,0,3,0,9,5
8,0,0,2,0,15,45,0,3,0,9,5
6,0,0,2,0,15,45,0,3,0,9,6
6,0,0,1,0,15,45,0,3,0,9,5
7,0,0,1,0,15,45,0,3,0,9,5
7,0,0,1,0,14,35,0,3,0,9,5
7,0,0,2,0,8,16,0,3,0,9,6
6,0,0,2,0,17,82,0,3,0,10,5
8,0,0,2,0,15,113,0,3,0,9,5
5,0,0,1,0,13,50,0,3,0,9,5
7,0,0,5,0,5,18,0,3,0,9,6
7,0,0,2,0,3,15,0,3,0,10,6
8,0,0,2,0,13,30,0,3,0,9,7
7,0,0,5,0,12,87,0,3,0,10,5
8,0,0,2,0,17,46,0,3,0,9,4
7,0,0,2,0,8,14,0,3,0,10,6
8,0,0,2,0,9,23,0,3,1,10,5
4,0,0,2,0,8,65,0,3,0,13,4
7,0,0,2,0,22,114,0,3,0,9,5
8,0,0,1,0,4,23,0,3,0,9,5
6,0,0,2,0,8,15,0,3,0,9,6
6,0,0,2,0,6,14,0,3,0,9,6
8,0,0,3,0,30,119,0,3,0,9,5
7,0,0,2,0,33,73,0,3,0,10,6
10,0,0,3,0,4,10,0,3,0,9,5
7,0,0,2,0,17,54,0,3,0,10,5
7,0,0,2,0,9,46,0,3,0,9,6
8,0,0,2,0,19,52,0,3,0,9,5
7,0,0,1,0,20,112,0,3,0,9,5
7,0,0,2,0,13,54,0,3,0,9,5
7,0,0,4,0,4,11,0,3,0,10,5
7,0,0,4,0,4,11,0,3,0,10,5
6,0,0,1,0,6,15,0,3,0,10,5
8,0,0,1,0,8,19,0,3,0,10,6
7,0,0,1,0,18,94,0,3,0,9,5
8,0,0,2,0,11,43,0,3,0,9,4
8,0,0,2,0,9,42,0,3,0,10,5
6,0,0,2,0,14,30,0,3,0,10,6
6,0,0,2,0,12,80,0,3,0,10,5
8,0,0,1,0,27,119,0,3,1,9,4
6,0,0,1,0,3,15,0,3,0,9,5
7,0,0,2,0,21,73,0,3,0,9,5
6,0,0,1,0,18,61,0,3,0,10,6
6,0,0,2,0,19,40,0,3,0,10,5
8,0,0,1,0,20,136,0,2,1,9,6
7,0,0,1,0,9,31,0,3,0,9,5
9,0,0,2,0,34,125,0,3,1,9,5
7,0,0,1,0,8,24,0,3,0,9,5
7,0,0,1,0,42,140,0,3,0,9,5
8,0,0,1,0,20,136,0,2,1,9,6
7,0,0,1,0,9,31,0,3,0,9,5
5,1,0,1,0,41,85,0,3,0,10,4
6,0,0,3,0,8,23,0,3,0,10,5
7,0,0,2,0,5,10,0,3,0,9,5
8,0,0,1,0,13,35,0,3,0,9,6
8,0,0,2,0,11,50,0,3,0,10,6
8,0,0,1,0,13,35,0,3,0,9,6
8,0,0,2,0,12,65,0,3,0,9,5
7,0,0,2,0,5,36,0,3,0,9,5
8,0,0,2,0,12,65,0,3,0,9,5
7,0,0,1,0,18,69,0,3,1,9,5
6,0,0,1,0,15,64,0,3,0,9,5
7,0,0,1,0,12,47,0,3,0,9,5
8,0,0,2,0,11,108,0,3,0,9,5
10,0,0,2,0,22,46,0,3,0,9,6
7,0,0,1,0,12,47,0,3,0,9,5
9,0,0,2,0,13,62,0,3,0,10,6
8,0,0,1,0,11,40,0,3,0,10,6
7,1,0,1,0,10,89,0,3,0,9,5
8,0,0,2,0,14,56,0,3,0,10,6
7,0,0,2,0,3,13,0,3,0,9,5
7,0,0,1,0,21,102,0,3,0,9,5
8,1,0,1,0,3,12,0,3,0,10,5
8,1,0,1,0,3,12,0,3,0,10,5
8,0,0,1,0,3,16,0,3,0,10,7
8,0,0,2,0,30,134,0,3,0,9,5
5,0,0,2,0,17,99,0,3,0,13,5
7,1,0,2,0,13,29,0,3,0,9,6
8,0,0,1,0,16,63,0,3,0,9,5
7,0,0,2,0,13,45,0,3,0,9,5
8,0,0,1,0,16,63,0,3,0,9,5
5,0,0,1,0,27,63,0,3,0,14,6
6,0,0,1,0,3,20,0,3,0,9,5
5,0,0,1,0,27,63,0,3,0,14,6
8,0,0,1,0,32,141,0,3,0,9,5
5,0,0,1,0,21,94,0,3,0,10,5
6,0,0,2,0,12,30,0,3,0,10,6
7,0,0,2,0,5,11,0,3,0,10,6
9,0,1,3,0,32,69,0,2,2,9,4
7,0,0,1,0,25,99,0,3,0,10,5
7,0,0,1,0,25,99,0,3,0,10,5
7,0,0,5,0,28,128,0,3,0,10,5
7,0,0,5,0,29,129,0,3,0,10,5
7,0,0,5,0,28,128,0,3,0,10,5
7,0,0,2,0,12,22,0,3,0,9,5
6,0,0,1,0,18,86,0,3,0,9,6
7,0,0,2,0,7,20,0,3,0,9,5
7,0,0,1,0,9,20,0,3,1,9,4
7,0,0,1,0,17,31,0,3,0,10,6
7,0,0,7,0,36,121,0,3,0,9,5
7,0,0,7,0,35,121,0,3,0,9,5
7,0,0,1,0,14,96,0,3,0,9,5
6,0,0,2,0,18,101,0,3,0,10,5
7,0,0,1,0,17,42,0,3,0,9,4
6,0,0,2,0,11,44,0,3,0,10,6
7,0,0,1,0,4,8,0,3,0,9,4
8,0,0,2,0,6,18,0,3,0,9,6
7,0,0,1,0,24,42,0,3,0,11,6
6,0,0,1,0,19,49,0,3,0,9,5
7,0,0,2,0,7,35,0,3,0,9,5
7,0,0,2,0,8,38,0,3,0,10,6
7,0,0,2,0,7,20,0,3,0,9,5
8,0,0,2,0,10,42,0,3,0,9,5
8,0,0,2,0,10,42,0,3,0,9,5
8,0,0,2,0,23,110,0,3,1,9,5
7,0,0,2,0,16,42,0,3,0,9,5
6,0,0,1,0,11,65,0,3,0,9,5
6,0,0,1,0,8,62,0,3,0,9,6
8,0,0,2,0,26,85,0,3,0,9,5
7,0,0,2,0,14,67,0,3,0,9,5
7,0,0,2,0,15,143,0,3,0,9,5
8,0,0,2,0,21,127,0,3,0,9,5
6,0,0,1,0,21,49,0,3,0,9,6
7,0,0,2,0,7,28,0,3,0,9,5
7,0,0,2,0,7,28,0,3,0,9,5
7,0,0,2,0,15,55,0,3,0,10,5
11,0,0,2,0,12,27,0,3,0,10,6
6,1,0,2,0,12,31,0,3,0,11,4
9,0,0,1,0,9,24,0,3,0,10,7
7,0,0,1,0,14,37,0,3,0,9,6
12,0,0,2,0,9,28,0,3,0,10,7
12,0,0,2,0,9,28,0,3,0,10,7
7,0,0,2,0,18,95,0,3,0,9,5
9,0,0,2,0,5,19,0,3,0,12,6
8,0,0,2,0,10,62,0,3,0,10,6
8,0,0,2,0,28,65,0,3,0,10,5
7,0,0,2,0,10,41,0,3,0,9,6
7,0,0,5,0,26,121,0,3,0,10,5
8,0,0,2,0,13,49,0,3,0,11,5
8,0,0,2,0,11,41,0,3,0,9,5
7,0,0,1,0,10,44,0,3,0,9,5
7,0,0,2,0,24,58,0,3,0,9,6
7,0,0,2,0,16,72,0,3,0,9,5
6,0,0,1,0,5,10,0,3,0,9,5
8,0,0,2,0,8,28,0,3,0,10,6
7,0,0,2,0,29,63,0,3,0,10,6
8,0,0,2,0,27,81,0,3,1,9,6
5,0,0,1,0,19,106,0,3,0,12,7
8,0,0,1,0,12,49,0,3,0,9,6
8,0,0,2,0,18,58,0,3,0,9,6
8,1,0,2,0,7,37,0,3,0,9,6
7,0,0,1,0,14,38,0,3,0,9,6
8,0,0,1,0,5,62,0,3,1,9,5
12,0,0,2,0,6,24,0,3,0,10,6
7,0,0,1,0,28,109,0,3,0,9,6
15,0,0,2,0,10,24,1,3,0,9,7
15,0,0,2,0,10,24,1,3,0,9,7
7,0,0,2,0,6,23,0,3,0,9,6
7,0,0,1,0,16,51,0,3,0,9,5
7,0,0,2,0,6,23,0,3,0,9,6
10,0,0,1,0,16,37,0,3,0,10,6
7,0,0,1,0,16,34,0,3,0,9,6
11,0,0,3,0,5,21,0,3,0,10,5
7,0,0,1,0,8,86,0,3,0,9,5
8,0,0,3,0,17,119,0,3,0,9,5
9,0,0,2,0,5,13,0,3,0,9,5
6,0,0,2,0,12,56,0,3,0,9,5
7,0,0,1,0,8,45,0,3,1,9,5
10,0,0,2,0,14,33,0,3,0,10,7
7,0,0,1,0,18,45,0,3,0,9,5
7,0,0,2,0,12,67,0,3,0,9,4
8,0,0,1,0,10,35,0,3,0,10,5
7,0,0,1,0,23,49,0,3,0,9,5
12,0,0,2,0,5,27,0,3,0,10,5
8,0,0,3,0,26,61,1,3,0,9,4
7,0,0,3,0,15,37,0,3,0,12,8
6,0,0,3,0,7,27,0,3,0,9,6
11,0,0,4,0,4,23,0,3,0,10,6
7,0,0,4,0,27,61,0,3,0,10,6
7,0,0,4,0,27,61,0,3,0,10,6
6,0,0,3,0,7,27,0,3,0,9,6
11,0,0,4,0,4,23,0,3,0,10,6
10,0,0,6,0,5,13,0,3,0,12,8
8,0,0,5,0,10,47,0,3,0,10,7
11,0,0,3,0,6,19,0,3,0,9,6
7,0,0,3,0,5,10,0,3,1,9,7
8,0,0,5,0,10,47,0,3,0,10,7
9,0,0,3,0,32,71,1,3,0,9,5
9,0,0,3,0,32,71,1,3,0,9,5
12,0,0,2,0,25,49,0,3,0,10,6
7,0,0,3,0,29,53,0,3,0,10,6
8,0,0,2,0,20,49,0,3,0,10,7
11,0,0,3,0,33,98,1,3,0,9,5
8,0,0,2,0,20,49,0,3,0,10,7
10,0,0,2,0,18,48,0,3,0,10,6
6,0,0,2,0,5,16,0,3,0,10,6
13,0,0,3,0,17,53,1,3,0,9,6
10,0,0,2,0,5,27,1,3,0,9,5
10,0,0,2,0,26,70,0,3,0,9,5
7,0,0,2,0,8,29,0,3,0,9,5
7,0,0,2,0,5,31,0,3,0,9,5
7,0,0,2,0,20,44,0,3,0,10,6
11,0,0,1,0,7,15,0,3,0,10,6
8,0,0,2,0,12,28,0,3,0,10,5
8,0,0,2,0,12,90,0,3,0,9,5
7,0,0,2,0,7,54,0,3,0,9,5
10,0,0,2,0,6,14,0,3,0,9,6
10,0,0,2,0,5,12,0,3,0,9,6
7,0,0,2,0,15,105,0,3,0,9,6
9,0,0,2,0,19,98,0,3,0,9,6
8,0,0,3,0,30,135,0,3,0,9,5
7,0,0,2,0,26,72,0,3,0,11,5
9,0,0,3,0,21,59,0,3,0,11,7
9,0,0,2,0,30,74,0,3,0,10,6
9,0,0,3,0,25,87,0,3,0,9,5
10,0,0,11,0,13,50,1,3,0,9,6
10,0,0,11,0,13,50,1,3,0,9,6
11,0,0,3,0,6,14,0,3,0,11,7
10,0,0,4,0,5,13,0,3,0,11,5
13,0,0,2,0,6,21,1,3,0,9,6
8,0,0,2,0,16,44,0,3,0,11,5
7,0,0,2,0,17,38,0,3,0,11,7
11,0,0,3,0,7,21,0,3,0,12,7
8,0,0,1,0,6,16,0,3,0,12,6
7,0,0,2,0,29,58,0,3,0,10,5
12,0,0,2,0,12,29,0,3,1,9,7
10,0,0,1,0,6,14,0,3,0,9,6
10,0,0,1,0,6,14,0,3,0,9,6
11,0,0,2,0,6,32,1,3,0,10,6
13,0,0,3,0,6,15,0,3,0,12,6
9,0,0,2,0,15,46,0,3,0,10,6
9,0,0,2,0,11,26,0,3,0,9,6
7,0,0,2,0,8,19,0,3,0,9,5
13,0,0,4,0,23,77,1,3,0,13,5
6,0,0,1,0,40,165,0,3,0,11,6
6,0,0,2,0,17,32,0,3,0,12,6
11,0,0,3,0,29,55,1,3,0,11,5
10,0,0,2,0,12,29,0,3,0,11,7
11,0,0,3,0,10,23,1,3,0,10,7
12,0,0,2,0,10,41,1,3,0,9,6
8,0,0,2,0,14,81,0,3,0,9,5
8,0,0,2,0,21,50,0,3,0,9,6
11,0,0,2,0,6,37,0,3,0,10,5
12,0,0,2,0,6,15,0,2,0,10,5
12,0,0,5,0,7,42,1,3,0,10,7
12,0,0,5,0,7,42,1,3,0,10,7
10,0,0,2,0,11,24,1,3,0,9,5
9,0,0,2,0,6,18,0,3,1,12,7
7,0,0,1,0,11,25,0,3,0,8,6
9,0,0,1,0,26,46,0,3,1,10,6
11,0,0,3,0,19,47,1,3,1,11,6
9,0,0,2,0,6,18,0,3,1,12,7
11,0,0,6,0,6,24,0,3,0,13,6
8,0,0,2,0,11,27,0,3,0,9,6
7,0,0,2,0,23,54,0,3,0,9,5
7,0,0,1,0,23,53,0,3,0,9,6
5,0,0,1,0,12,88,0,3,0,12,8
13,0,0,2,0,17,43,1,3,0,10,6
9,0,0,2,0,6,26,0,3,0,9,5
12,0,0,4,0,7,38,1,3,0,13,7
6,0,0,7,0,68,124,0,3,0,9,5
11,0,0,2,0,13,49,0,3,0,11,6
8,0,0,2,0,9,42,0,3,0,9,5
6,0,0,7,0,68,124,0,3,0,9,5
12,0,0,2,0,19,64,1,3,0,10,6
11,0,0,2,0,10,41,0,3,0,10,6
7,0,0,2,0,15,27,0,3,0,9,5
9,0,0,2,0,9,28,0,3,0,10,6
12,0,0,3,0,12,30,0,3,0,10,7
12,0,0,4,0,26,49,0,3,0,9,4
9,0,0,2,0,26,86,0,3,0,9,6
7,0,0,1,0,15,77,0,3,0,9,5
9,0,0,6,0,6,19,0,3,0,11,7
8,0,0,2,0,24,122,0,3,0,9,5
8,0,0,6,0,31,134,1,3,1,9,5
10,0,0,2,0,6,20,0,3,0,11,6
7,0,0,1,0,34,124,0,3,0,10,5
11,0,0,2,0,7,20,0,3,0,10,6
6,0,0,1,0,34,52,0,3,0,9,5
6,0,0,2,0,32,48,0,3,0,12,7
7,0,0,2,0,15,60,0,3,0,10,5
10,0,0,2,0,6,24,0,3,0,11,7
6,0,0,2,0,32,48,0,3,0,12,7
6,0,0,2,0,19,48,0,3,0,11,6
9,0,0,1,0,6,32,0,3,0,10,6
9,0,0,1,0,9,30,0,3,0,9,5
12,0,0,2,0,13,35,0,3,0,10,6
10,0,0,2,0,6,24,0,3,0,11,7
7,0,0,2,0,21,66,0,3,0,9,5
12,0,0,2,0,6,18,1,3,0,9,5
10,0,0,3,0,22,54,0,3,0,9,6
12,0,0,2,0,6,18,1,3,0,9,5
8,0,0,2,0,38,62,0,3,0,10,6
11,0,0,3,0,6,22,0,3,0,11,6
7,0,0,1,0,7,50,0,3,0,9,5
12,0,0,2,0,6,29,0,2,0,9,8
15,0,0,3,0,6,43,1,2,0,11,7
5,0,0,1,0,5,27,0,3,0,12,7
12,0,0,2,0,31,72,0,3,0,10,5
9,0,0,2,0,6,16,0,3,0,11,5
8,0,0,2,0,7,27,0,3,0,10,6
11,0,0,2,0,17,35,0,3,0,10,6
11,0,0,2,0,17,35,0,3,0,10,6
6,0,0,1,0,18,35,0,3,0,10,6
10,0,0,2,0,5,22,0,3,0,11,7
7,0,0,1,0,21,67,0,3,0,11,5
11,0,0,5,0,6,19,0,3,0,13,8
8,0,0,2,0,5,22,0,3,0,10,5
9,0,0,2,0,29,65,0,3,0,9,5
11,0,0,2,0,10,47,1,3,0,9,3
9,0,0,2,0,14,23,0,3,0,11,6
8,0,0,2,0,6,19,0,3,0,9,5
11,0,0,2,0,5,15,0,2,0,9,6
10,0,0,2,0,21,51,0,3,0,11,6
8,0,0,2,0,7,18,0,3,0,14,6
11,0,0,2,0,6,21,1,3,0,9,6
8,0,0,1,0,36,48,0,3,0,9,5
13,0,0,2,0,15,47,0,3,0,10,5
9,0,0,2,0,25,52,0,3,0,11,6
12,0,0,2,0,25,68,0,3,0,10,6
9,0,0,2,0,5,28,0,3,0,10,5
9,0,0,2,0,6,16,0,3,0,9,5
10,0,0,1,0,6,20,0,3,1,11,6
9,0,0,2,0,6,31,0,3,0,10,6
10,0,0,15,0,6,23,1,3,0,9,5
9,0,0,2,0,6,17,0,3,0,11,8
10,0,0,2,0,7,18,0,3,1,9,5
10,0,0,1,0,6,17,0,3,0,10,5
10,0,0,1,0,5,14,0,3,0,10,6
9,0,0,2,0,10,26,0,3,0,10,6
9,0,0,2,0,12,25,0,3,0,13,7
8,0,0,2,0,13,27,0,3,0,13,7
8,0,0,3,0,23,81,1,3,0,11,6
6,0,0,8,0,28,91,0,3,0,12,6
10,0,0,2,0,5,16,0,3,0,11,8
7,0,0,1,0,14,38,0,3,0,9,6
7,0,0,2,0,43,113,0,3,0,11,5
10,0,0,2,0,5,16,0,3,0,11,8
8,0,0,3,0,23,81,1,3,0,11,6
7,0,0,1,0,14,38,0,3,0,9,6
10,0,0,6,0,38,76,0,3,0,12,7
10,0,0,6,0,38,76,0,3,0,12,7
10,0,0,1,0,6,22,0,3,1,10,7
10,0,0,2,0,10,26,0,3,0,12,7
10,0,0,1,0,6,21,0,3,1,10,7
11,0,0,2,0,6,13,1,3,0,9,6
13,0,0,2,0,23,43,0,3,0,11,7
10,0,0,2,0,26,62,0,3,0,10,6
10,0,0,2,0,15,49,0,3,0,9,6
10,0,0,2,0,6,15,0,3,0,11,7
10,0,0,2,0,6,15,0,3,0,11,7
8,0,0,6,0,34,151,1,3,1,9,5
12,0,0,4,0,5,14,1,3,0,11,6
10,0,0,2,0,5,16,0,3,0,8,3
9,0,0,2,0,15,33,0,3,0,10,6
9,0,0,2,0,38,142,0,3,0,9,5
9,0,0,2,0,23,116,0,3,0,9,5
7,0,0,2,0,33,85,0,3,0,11,6
9,0,0,2,0,6,33,0,3,0,9,5
9,0,0,2,0,1,28,0,3,0,10,6
11,0,0,2,0,12,42,1,3,0,10,5
11,0,0,2,0,12,42,1,3,0,10,5
